mass	speed
51	61.0
53	63.0
67	74.0
64	60.0
61	61.0
59	64.0
69	66.5
67	62.0
54	66.0
60	64.0
45	35.0
55	58.0
58	56.0
64	63.0
54	63.0
64	66.0
62	64.0
69	58.0
45	54.0
71	78.0
57	62.0
51	58.0
45	53.0
60	71.0
51	59.0
62	63.0
59	61.0
63	66.0
56	55.0
54	63.0
63	70.5
64	62.0
58	63.0
60	62.0
62	68.0
70	70.0
61	65.0
60	66.0
58	67.0
60	68.0
48	47.5
49	56.0
57	59.0
62	69.0
68	67.0
64	60.0
51	62.0
59	66.0
51	61.0
58	64.0
60	64.0
66	67.0
52	64.0
61	66.0
51	61.0
53	69.0
50	48.0
68	71.0
64	62.0
63	66.0
54	62.0
59	69.0
50	58.0
53	56.0
61	69.0
58	65.0
63	67.0
44	47.0
53	60.0
64	61.0
55	68.0
55	59.0
66	74.0
69	73.0
53	60.0
51	64.0
62	71.0
61	60.0
56	63.0
59	66.0
67	73.0
54	62.0
55	62.0
66	70.0
60	62.0
58	62.0
61	60.0
67	69.0
61	69.0
50	49.0
59	58.0
56	61.0
50	53.0
62	62.0
56	58.0
49	55.0
62	54.0
44	55.0
50	66.0
