year	llen	lwid	ngalls	vgno	vdist	order	Gdiam	surv	wl	Neggs
1985	142	NA	4	1	NA	1	5	1	NA	83
1985	142	NA	4	1	NA	1	5	0	NA	NA
1985	142	NA	4	1	NA	1	5	0	NA	NA
1985	142	NA	4	1	NA	1	5	0	NA	NA
1985	105	NA	5	1	NA	1	5	0	NA	NA
1985	105	NA	5	1	NA	1	5	0	NA	NA
1985	105	NA	5	1	NA	1	5	1	NA	NA
1985	105	NA	5	1	NA	1	5	0	NA	NA
1985	105	NA	5	1	NA	1	5	0	NA	NA
1985	90	NA	5	1	NA	1	5	0	NA	NA
1985	90	NA	5	1	NA	1	5	0	NA	NA
1985	90	NA	5	1	NA	1	5	0	NA	NA
1985	90	NA	5	1	NA	1	5	0	NA	NA
1985	90	NA	5	1	NA	1	5	0	NA	NA
1985	100	NA	16	1	NA	1	3	0	NA	NA
1985	100	NA	16	2	NA	1	5	1	NA	NA
1985	100	NA	16	2	NA	2	3	0	NA	NA
1985	100	NA	16	3	NA	1	3	0	NA	NA
1985	100	NA	16	3	NA	2	3	0	NA	NA
1985	100	NA	16	3	NA	3	3	0	NA	NA
1985	100	NA	16	2	NA	1	3	0	NA	NA
1985	100	NA	16	2	NA	2	3	0	NA	NA
1985	100	NA	16	2	NA	1	5	1	NA	NA
1985	100	NA	16	2	NA	2	3	0	NA	NA
1985	100	NA	16	2	NA	1	3	0	NA	NA
1985	100	NA	16	2	NA	2	3	0	NA	NA
1985	100	NA	16	2	NA	1	5	1	NA	125
1985	100	NA	16	2	NA	2	3	0	NA	NA
1985	100	NA	16	2	NA	1	3	0	NA	NA
1985	100	NA	16	2	NA	2	3	0	NA	NA
1985	130	NA	7	1	NA	1	3	0	NA	NA
1985	130	NA	7	1	NA	1	5	0	NA	NA
1985	130	NA	7	1	NA	1	5	0	NA	NA
1985	130	NA	7	2	NA	1	5	0	NA	NA
1985	130	NA	7	2	NA	2	5	0	NA	NA
1985	130	NA	7	1	NA	1	3	0	NA	NA
1985	130	NA	7	1	NA	1	5	1	NA	NA
1985	89	NA	20	1	4	1	4	1	NA	85
1985	89	NA	20	2	4	1	4	1	NA	NA
1985	89	NA	20	2	7	2	3	0	NA	NA
1985	89	NA	20	3	4	1	4	0	NA	NA
1985	89	NA	20	3	8	2	4	0	NA	NA
1985	89	NA	20	3	14	3	3	0	NA	NA
1985	89	NA	20	3	7	1	3	1	NA	NA
1985	89	NA	20	3	7	2	3	1	NA	NA
1985	89	NA	20	3	10	3	2	0	NA	NA
1985	89	NA	20	1	17	1	4	0	NA	NA
1985	89	NA	20	4	6	1	4	1	NA	101
1985	89	NA	20	3	4	1	4	0	NA	NA
1985	89	NA	20	4	10	2	3	0	NA	NA
1985	89	NA	20	4	11	3	3	0	NA	NA
1985	89	NA	20	3	10	2	4	0	NA	NA
1985	89	NA	20	3	16	3	3	0	NA	NA
1985	89	NA	20	4	20	4	3	0	NA	NA
1985	89	NA	20	2	6	1	5	0	NA	103
1985	89	NA	20	2	11	2	4	0	NA	170
1985	89	NA	20	1	NA	1	5	0	NA	112
1985	100	NA	19	2	4	1	NA	0	NA	NA
1985	100	NA	19	2	11	2	NA	1	NA	135
1985	100	NA	19	2	4	1	NA	0	NA	NA
1985	100	NA	19	2	6	2	NA	0	NA	NA
1985	100	NA	19	1	15	1	NA	0	NA	NA
1985	100	NA	19	4	3	1	NA	0	NA	NA
1985	100	NA	19	4	6	2	NA	0	NA	NA
1985	100	NA	19	4	11	3	NA	0	NA	NA
1985	100	NA	19	4	13	4	NA	0	NA	NA
1985	100	NA	19	3	4	1	NA	0	NA	NA
1985	100	NA	19	3	13	2	NA	0	NA	NA
1985	100	NA	19	3	19	3	NA	0	NA	NA
1985	100	NA	19	2	4	1	NA	1	NA	135
1985	100	NA	19	2	4	2	NA	0	NA	NA
1985	100	NA	19	2	4	1	NA	0	NA	NA
1985	100	NA	19	2	12	2	NA	0	NA	NA
1985	100	NA	19	2	NA	1	NA	0	NA	NA
1985	100	NA	19	2	NA	2	NA	1	NA	126
1985	100	NA	19	1	4	1	NA	1	NA	117
1985	126	NA	9	1	25	1	NA	0	NA	NA
1985	126	NA	9	2	12	1	NA	1	NA	NA
1985	126	NA	9	2	30	2	NA	0	NA	NA
1985	126	NA	9	1	10.5	1	NA	0	NA	NA
1985	126	NA	9	1	28	1	NA	0	NA	NA
1985	126	NA	9	1	16	1	NA	0	NA	NA
1985	126	NA	9	1	NA	1	NA	0	NA	NA
1985	81	NA	4	1	22	1	NA	0	NA	NA
1985	81	NA	4	1	7	1	NA	1	NA	NA
1985	81	NA	4	1	7	1	NA	0	NA	NA
1985	81	NA	4	1	64	1	NA	0	NA	NA
1985	103	NA	3	1	69	1	NA	1	NA	160
