WL	WW	HW	THW	THL	THH	THVOL	T2	T3	T4	FU	LABR	PR	LL	PS
6.61	1.98	2.19	1.52	2.55	1.98	7.74	1.83	1.79	1.7	1.14	0.89	0.64	0.52	19.3
6.75	2.24	2.22	1.59	2.65	2.02	8.51	1.92	1.88	1.7	0.88	0.78	0.48	0.62	28
7.37	2.55	3.07	2.29	3.35	2.56	19.64	2.68	2.67	2.48	1.34	1.24	0.85	0.86	28
7.4	2.34	3.05	2.38	3.44	2.72	22.27	2.68	2.45	1.98	1.41	1.26	0.88	0.84	26
7.64	2.56	3.14	2.38	3.54	2.71	22.81	2.93	2.93	2.62	1.52	1.44	0.96	0.95	29
6.51	2.22	2.73	2.14	3.13	2.43	17.03	2.41	2.12	1.76	1.31	1.31	0.92	0.79	27.3
10.7	3.35	4.1	3.55	5.22	4.25	79	4.92	4.71	3.9	1.63	1.8	1.19	1.26	44
8.6	3.23	4.28	3.05	4.39	3.2	42.85	4.04	3.91	3.45	1.84	1.73	1.16	0.87	23
8.22	3.06	4.17	2.99	4.32	3.28	42.74	4.07	3.94	3.44	1.74	1.63	1.2	0.8	24.7
7.82	2.84	4.05	2.94	4.2	3.15	38.9	3.55	3.44	2.85	1.73	1.64	1.13	0.81	26
7.39	2.04	1.75	1.12	2.05	1.66	3.85	0.49	0.98	1.27	0.64	0.43	0.35	0.54	26
6.4	1.76	1.7	1.16	2.2	1.92	5.36	0.55	0.5	0.78	0.59	0.39	0.34	0.55	26
8.65	2.84	3.08	2.38	3.88	2.76	25.46	3.2	3.25	3.05	1.09	0.76	0.57	1.17	54
8.72	2.93	3.46	2.98	4.39	3.46	45.34	4.51	4.33	3.83	1.28	1.31	0.81	1.19	40
9.92	3.65	3.58	2.9	4.54	3.49	45.93	4.62	4.65	4.09	1.46	1.39	0.9	1.32	39.5
9.69	3.46	3.53	2.95	4.5	3.49	46.33	4.29	4.34	4.07	1.4	1.38	0.92	1.27	39
8.5	2.82	3.08	2.73	3.97	3.18	35.84	3.27	3.17	2.87	1.21	1.12	0.75	1.09	39.5
8.4	3.1	3.44	2.72	4.03	3.26	35.73	4.03	3.82	3.4	1.49	1.47	0.94	1.19	39
8.25	2.93	3.26	2.65	4.12	3.26	35.59	3.62	3.46	2.99	1.46	1.43	0.9	1.08	37
9.77	3.42	3.54	3.17	4.87	3.63	56.21	4.64	4.54	3.98	1.5	1.48	0.94	1.27	38.7
9.19	3.2	3.6	3.18	4.72	3.83	57.43	4.11	4.02	3.58	1.31	1.23	0.81	1.2	38.3
9.22	3.2	3.65	3.35	4.84	3.89	63.01	3.74	3.67	3.34	1.3	1.31	0.86	1.16	39
6.59	2.47	2.46	2	3.12	2.44	15.44	2.75	2.71	2.43	0.91	0.87	0.58	0.72	20.5
9.3	3.11	3.57	3.2	4.73	3.85	60.1	4.72	4.57	3.94	1.4	1.4	0.83	1.21	39
9.4	3.12	3.58	3.35	4.88	3.89	64.08	4.48	4.34	3.72	1.37	1.38	0.85	1.24	38.8
10.3	3.55	3.94	3.4	5.08	4.1	70.82	4.69	4.76	4.77	1.63	1.63	0.94	1.4	52
7.32	2.2	1.84	1.88	3	2.48	13.96	2.38	2.22	1.82	0.9	0.9	0.56	0.56	21
8.48	2.52	2.14	2.16	3.73	3.01	24.21	3.1	2.81	2.18	1.16	1.09	0.72	0.79	24
6.33	2.11	1.7	1.53	2.57	2.08	8.17	2.51	2.44	2	0.76	0.72	0.48	0.52	18
7.74	2.42	1.94	1.88	3.18	2.48	14.81	2.57	2.41	1.88	0.9	0.86	0.48	0.6	22
8.95	2.87	2.78	2.67	4.58	3.59	43.9	4.15	4.05	3.05	1.35	1.35	0.92	0.93	27
9.1	2.94	2.66	2.67	4.5	3.51	42.25	3.99	3.82	2.86	1.32	1.25	0.83	0.9	28.3
6.79	2.28	1.79	1.74	2.98	2.28	11.79	2.81	2.71	2.33	0.95	0.9	0.65	0.66	21
10.96	3.82	4.26	3.65	5.16	4.13	78.31	4.85	4.67	4.05	1.94	1.89	1.17	1.51	37.3
12.02	3.94	4.09	3.87	5.46	4.43	94.07	4.42	4.28	3.57	1.97	2.02	1.26	1.53	39.5
10.12	3.22	3.29	3.1	4.5	3.49	48.69	3.3	3.09	2.56	1.13	1.08	0.74	1.08	32
11.37	3.61	5.02	3.49	5.48	4.22	80.65	5.48	5.09	4.41	1.52	1.25	0.98	1.67	50
11.03	3.44	4.8	3.93	5.7	4.27	95.42	5.09	4.78	3.44	1.45	1.3	0.96	1.57	52.5
