grassh	size
A	8.91
A	8.68
A	9.27
A	9.21
A	8.57
A	7.55
A	6.60
A	8.76
A	7.50
A	11.27
A	8.74
A	7.65
A	6.44
A	7.26
A	7.86
A	9.10
A	7.42
A	6.42
A	9.17
A	8.61
A	7.08
A	9.64
A	8.16
A	7.27
A	6.27
A	6.08
A	8.44
A	9.88
A	10.76
A	8.07
A	8.74
A	9.26
A	9.24
A	8.10
A	8.09
A	8.02
A	6.79
A	5.25
A	8.62
A	8.78
A	7.08
A	8.40
A	5.00
A	6.33
A	5.79
A	7.80
A	4.53
A	5.42
A	8.58
A	10.31
A	8.55
A	9.76
A	9.45
A	8.05
A	8.89
A	6.39
A	7.22
A	6.54
A	7.75
A	9.09
A	8.97
A	7.78
A	7.53
A	9.62
A	10.19
A	8.15
A	10.74
A	7.00
A	8.15
A	7.67
A	5.01
A	8.53
A	8.63
A	11.11
A	7.09
A	9.55
A	9.60
A	7.75
A	5.95
A	9.84
A	7.43
A	6.06
A	8.72
A	9.00
A	9.99
A	10.69
A	9.34
A	8.59
A	6.92
A	9.34
A	4.85
A	6.77
A	9.14
A	7.59
A	8.68
A	5.94
A	5.62
A	7.59
A	5.70
A	6.26
A	8.64
B	12.68
B	10.60
B	9.68
B	10.44
B	10.71
B	9.25
B	9.32
B	8.26
B	9.84
B	7.48
B	9.58
B	9.76
B	10.55
B	9.22
B	9.16
B	12.56
B	8.29
B	10.57
B	7.19
B	14.84
B	12.25
B	11.64
B	11.34
B	10.85
B	12.29
B	10.33
B	10.28
B	10.18
B	10.71
B	12.64
B	9.23
B	7.48
B	10.85
B	11.88
B	11.70
B	13.05
B	8.87
B	9.06
B	8.54
B	11.56
B	13.44
B	11.43
B	7.33
B	10.12
B	9.92
B	11.55
B	8.85
B	11.00
B	10.30
B	9.57
B	9.57
B	9.97
B	11.44
B	12.12
B	9.12
B	9.14
B	12.61
B	8.73
B	8.87
B	12.58
B	11.76
B	10.85
B	10.23
B	9.14
B	12.08
B	11.49
B	11.83
B	10.12
B	7.74
B	9.62
B	9.99
B	8.88
B	11.06
B	10.52
B	8.88
B	8.83
B	10.24
B	11.38
B	10.44
B	10.45
B	7.94
B	6.55
B	9.98
B	10.10
B	8.87
B	7.32
B	9.95
B	12.27
B	9.41
B	10.43
B	9.85
B	8.08
B	9.09
B	10.76
B	9.34
B	10.37
B	7.38
B	10.26
B	8.42
B	10.22
B	7.29
C	5.46
C	7.17
C	6.71
C	5.54
C	5.45
C	8.61
C	7.19
C	6.46
C	9.08
C	6.30
C	7.97
C	5.09
C	7.81
C	6.23
C	7.01
C	7.20
C	8.24
C	4.96
C	7.93
C	6.07
C	8.30
C	7.65
C	7.71
C	4.21
C	7.74
C	8.88
C	7.14
C	6.08
C	5.11
C	6.02
C	6.60
C	8.87
C	8.95
C	7.84
C	9.59
C	8.92
C	7.26
C	8.77
C	7.65
C	7.64
C	8.71
C	7.24
C	9.81
C	7.12
C	8.11
C	8.81
C	6.90
C	5.33
C	8.07
C	5.22
C	8.17
C	8.93
C	4.34
C	7.92
C	6.40
C	9.05
C	4.45
C	7.57
C	10.93
C	7.38
C	10.28
C	9.08
C	6.65
C	6.80
C	10.48
C	7.26
C	4.33
C	6.13
C	7.84
C	5.45
C	7.76
C	6.93
C	6.30
C	4.55
C	3.56
C	8.08
C	6.54
C	6.84
C	5.40
C	5.76
C	8.16
C	6.72
C	9.23
C	6.22
C	7.75
C	5.71
C	8.84
C	4.82
C	6.10
C	7.49
C	7.26
C	6.78
C	6.29
C	7.94
C	6.15
C	5.23
C	8.09
C	7.90
C	9.29
C	6.35
C	8.52
D	6.18
D	6.16
D	3.99
D	6.35
D	7.44
D	2.33
D	5.92
D	8.84
D	4.33
D	4.41
D	4.04
D	7.16
D	1.95
D	6.61
D	6.59
D	7.66
D	5.99
D	5.77
D	5.35
D	7.26
D	6.16
D	6.25
D	7.11
D	5.16
D	6.18
D	9.25
D	4.65
D	4.30
D	6.77
D	4.52
D	5.91
D	6.55
D	6.08
D	6.02
D	5.09
D	5.42
D	6.73
D	5.82
D	4.47
D	5.49
D	4.64
D	5.10
D	5.37
D	2.85
D	4.34
D	2.91
D	5.48
D	6.93
D	4.38
D	3.19
D	5.74
D	3.40
D	5.25
D	6.34
D	8.15
D	3.85
D	3.28
D	5.66
D	3.47
D	8.56
D	6.96
D	7.64
D	6.41
D	7.77
D	4.80
D	6.97
D	7.66
D	6.21
D	5.06
D	6.92
D	7.11
D	6.37
D	6.40
D	7.20
D	4.96
D	6.44
D	6.94
D	4.09
D	5.09
D	5.24
D	4.37
D	6.08
D	2.84
D	5.86
D	6.42
D	8.88
D	5.18
D	5.24
D	5.00
D	6.09
D	5.93
D	7.07
D	5.95
D	5.50
D	7.60
D	7.34
D	7.28
D	5.45
D	6.72
D	4.53
D	4.55
E	10.16
E	6.66
E	9.69
E	11.07
E	11.10
E	7.19
E	6.93
E	7.87
E	9.31
E	9.13
E	7.05
E	11.52
E	9.89
E	8.90
E	13.73
E	11.89
E	7.68
E	8.17
E	6.70
E	9.62
E	7.87
E	10.17
E	10.12
E	12.24
E	7.89
E	11.04
E	8.33
E	9.70
E	9.56
E	9.18
E	8.52
E	11.74
E	8.84
E	11.28
E	8.50
E	9.09
E	6.87
E	8.40
E	9.61
E	8.87
E	11.44
E	11.21
E	8.35
E	9.98
E	10.69
E	7.67
E	6.92
E	11.09
E	8.92
E	10.73
E	10.35
E	9.19
E	7.75
E	9.31
E	10.56
E	13.65
E	11.07
E	9.25
E	7.78
E	8.83
E	10.17
E	9.17
E	10.42
E	11.27
E	9.89
E	7.80
E	10.15
E	8.91
E	10.62
E	11.36
E	12.36
E	9.13
E	11.16
E	10.64
E	11.73
E	7.79
E	11.93
E	8.84
E	9.64
E	7.85
E	8.53
E	8.00
E	10.96
E	7.66
E	9.48
E	11.00
E	7.98
E	7.82
E	9.76
E	10.93
E	7.75
E	7.31
E	7.50
E	9.00
E	10.18
E	9.44
E	8.78
E	10.02
E	10.97
E	8.45
E	7.95
F	6.74
F	6.81
F	4.85
F	7.29
F	5.22
F	7.19
F	7.53
F	4.41
F	7.79
F	6.12
F	4.83
F	4.81
F	8.32
F	5.88
F	5.56
F	3.47
F	4.23
F	6.44
F	6.66
F	3.95
F	6.65
F	3.32
F	11.11
F	5.91
F	4.86
F	4.67
F	5.78
F	5.05
F	6.61
F	7.42
F	6.40
F	4.86
F	6.84
F	6.18
F	3.22
F	6.32
F	5.41
F	6.96
F	4.48
F	5.86
F	2.61
F	5.54
F	8.34
F	6.63
F	4.85
F	5.80
F	8.50
F	8.82
F	5.60
F	2.97
F	3.45
F	5.06
F	3.84
F	4.08
F	10.49
F	4.84
F	5.37
F	7.57
F	6.30
F	3.38
F	6.01
F	4.59
F	5.31
F	4.45
F	4.09
F	6.68
F	4.57
F	3.13
F	6.54
F	4.21
F	6.55
F	7.15
F	6.40
F	7.33
F	5.23
F	8.80
F	6.07
F	8.98
F	3.91
F	8.85
F	3.15
F	7.11
F	7.60
F	3.99
F	5.19
F	5.67
F	5.81
F	3.83
F	4.06
F	4.44
F	2.08
F	9.00
F	7.06
F	5.60
F	4.26
F	10.02
F	5.35
F	4.74
F	7.23
F	7.33
F	5.41
G	8.42
G	6.79
G	8.52
G	4.59
G	5.36
G	4.56
G	6.52
G	7.11
G	6.32
G	4.82
G	3.82
G	4.81
G	5.25
G	4.09
G	5.20
G	4.55
G	7.41
G	5.79
G	6.51
G	4.35
G	5.63
G	5.67
G	4.96
G	4.85
G	3.25
G	5.82
G	7.09
G	5.28
G	7.07
G	7.13
G	6.17
G	5.24
G	1.60
G	5.75
G	7.55
G	9.31
G	8.98
G	5.06
G	6.05
G	7.08
G	5.40
G	9.33
G	7.52
G	6.40
G	2.65
G	5.05
G	5.94
G	8.08
G	7.71
G	5.72
G	7.69
G	8.13
G	6.52
G	6.68
G	5.13
G	5.52
G	6.52
G	4.08
G	6.34
G	6.11
G	5.06
G	6.23
G	6.80
G	7.01
G	6.84
G	9.63
G	6.19
G	5.76
G	6.51
G	6.22
G	5.22
G	5.23
G	3.05
G	10.55
G	5.19
G	7.15
G	8.99
G	6.64
G	4.09
G	5.27
G	6.21
G	4.59
G	5.14
G	4.43
G	5.05
G	6.28
G	7.41
G	6.17
G	5.98
G	6.50
G	6.55
G	5.68
G	6.74
G	6.48
G	7.17
G	5.02
G	8.50
G	7.00
G	8.00
G	7.53
G	9.28
