colour	pecks
yellow	7
yellow	4
yellow	4
yellow	5
yellow	4
yellow	3
yellow	4
yellow	7
yellow	6
yellow	7
yellow	7
yellow	5
yellow	3
yellow	7
yellow	7
yellow	6
yellow	5
yellow	5
yellow	4
yellow	7
yellow	6
yellow	5
yellow	6
yellow	5
yellow	2
yellow	4
yellow	4
yellow	7
yellow	6
yellow	6
yellow	5
yellow	5
yellow	6
yellow	7
yellow	4
yellow	8
yellow	7
yellow	6
yellow	4
yellow	5
green	14
green	13
green	12
green	10
green	10
green	12
green	10
green	10
green	12
green	10
green	13
green	9
green	13
green	10
green	13
green	12
green	10
green	11
green	9
green	11
green	9
green	10
green	12
green	6
green	13
green	11
green	8
green	12
green	6
green	10
green	9
green	8
green	10
green	15
green	10
green	13
green	9
green	8
green	12
green	16
