shore	periwinkle
beach	0
beach	0
beach	0
beach	100
beach	24
beach	0
beach	0
beach	0
beach	65
beach	0
beach	58
beach	5
beach	68
beach	10
beach	0
beach	8
beach	13
beach	0
beach	69
beach	40
beach	27
beach	80
beach	0
beach	53
beach	64
beach	75
beach	76
beach	3
beach	0
beach	0
beach	0
beach	51
beach	0
beach	0
beach	62
beach	38
beach	17
beach	97
beach	7
beach	24
beach	0
beach	0
beach	24
beach	2
beach	0
beach	0
beach	23
beach	0
beach	0
beach	0
rock	23
rock	100
rock	49
rock	91
rock	29
rock	95
rock	0
rock	79
rock	29
rock	45
rock	27
rock	100
rock	100
rock	0
rock	100
rock	100
rock	98
rock	100
rock	100
rock	100
rock	53
rock	23
rock	100
rock	41
rock	0
rock	69
rock	100
rock	100
rock	7
rock	89
rock	5
rock	100
rock	71
rock	100
rock	100
rock	0
rock	5
rock	100
rock	72
rock	47
rock	38
rock	100
rock	100
rock	1
rock	58
rock	79
rock	74
rock	100
rock	51
rock	100
