normal	stones	leaves	cotton
10.48	4.83	17.92	10.51
6.42	9.35	13.62	14.35
14.95	5.30	12.57	12.54
11.40	7.14	18.85	12.23
10.85	11.05	10.22	13.25
11.97	9.20	12.93	11.04
12.84	13.48	9.30	17.11
9.87	12.40	8.89	12.00
8.39	15.50	8.57	10.73
9.63	13.65	12.85	11.75
14.63	3.65	16.46	17.65
9.32	7.65	8.52	11.69
11.94	10.91	11.97	15.50
15.59	13.18	16.47	10.79
11.27	15.24	12.29	14.49
10.50	9.90	7.55	13.31
14.63	8.95	8.64	9.54
12.66	13.01	12.74	6.79
12.14	10.71	11.61	10.78
15.81	7.97	10.87	14.62
8.45	12.85	12.22	10.98
9.83	10.16	8.59	11.26
12.97	9.84	14.98	10.62
8.23	11.73	8.72	13.07
13.40	10.36	8.88	12.13
12.67	14.08	14.79	8.88
13.59	11.50	11.12	14.91
12.75	11.48	11.17	15.88
12.18	12.01	5.57	10.69
8.18	14.28	8.18	13.26
7.79	6.60	9.41	17.08
11.10	6.96	12.11	7.90
9.99	13.03	14.85	11.75
13.46	12.47	7.80	12.87
5.54	12.32	4.33	14.89
9.15	9.84	11.37	15.84
9.74	9.90	9.86	15.35
10.14	6.73	6.10	8.59
10.24	11.26	7.59	12.77
14.78	10.67	14.96	9.75
