female	mixed	male
1	1	9
2	8	5
3	8	8
2	6	10
1	1	4
3	5	8
1	8	5
4	2	8
2	6	10
6	2	8
4	6	4
3	4	10
6	8	12
3	5	11
5	2	11
1	5	3
2	4	9
3	3	9
1	7	3
0	3	4
4	4	5
1	4	7
3	3	5
2	3	6
1	2	7
5	1	7
2	4	10
6	8	5
2	8	11
4	8	9
0	1	4
2	5	12
6	8	11
2	5	3
3	3	10
6	6	5
2	1	5
1	6	10
2	5	6
2	4	11
1	1	11
5	3	4
4	5	10
5	7	8
6	6	10
1	1	9
4	7	6
0	1	4
3	3	3
6	5	9
6	3	7
2	5	9
6	2	10
3	2	3
1	1	4
0	8	5
3	7	7
2	2	11
6	5	4
5	5	8
6	3	11
6	4	6
5	8	10
2	8	7
4	4	9
6	3	7
4	6	8
0	3	4
0	1	9
3	2	4
4	8	5
4	2	7
0	4	4
4	3	12
4	6	9
0	2	12
1	4	8
5	1	12
6	3	6
0	3	4
1	1	10
6	4	5
2	7	4
1	4	6
6	8	10
5	5	3
2	4	8
5	1	3
4	2	6
3	6	3
2	3	11
0	2	5
2	4	7
3	2	10
2	6	12
5	7	6
6	3	10
0	2	11
1	3	11
0	7	5
