female	mixed	male
3	7	16
4	17	2
13	18	8
12	6	17
8	17	12
5	5	4
14	14	6
15	4	22
4	6	20
7	17	18
3	20	12
9	17	19
18	19	17
13	13	14
16	18	17
16	11	22
10	18	8
5	18	5
12	13	12
13	17	9
2	8	17
15	18	22
19	11	16
3	10	8
5	16	21
9	17	21
2	17	10
9	7	15
8	15	15
11	10	10
2	13	16
12	14	5
16	5	13
5	15	20
15	13	13
17	5	16
16	17	22
2	20	8
12	9	9
14	4	11
8	15	11
8	6	15
3	19	22
5	20	22
4	17	17
4	5	13
15	18	4
9	6	22
10	12	8
12	10	11
9	15	2
13	13	3
2	20	6
12	10	18
7	12	7
10	15	17
5	7	13
2	17	3
17	13	12
6	20	15
10	7	2
11	18	16
10	9	4
2	7	22
3	19	2
18	4	14
16	17	9
17	5	10
14	5	21
10	10	18
14	12	2
9	10	7
13	9	22
12	19	10
15	5	12
7	12	5
20	20	20
10	18	5
7	8	21
6	13	8
15	11	10
6	5	15
16	4	11
15	4	13
16	7	17
4	18	5
18	13	22
4	13	19
13	10	3
9	16	5
10	5	5
19	4	14
18	9	19
12	20	16
6	12	10
7	9	9
15	8	20
16	20	10
7	8	7
18	7	21
