culture	random	high	low
1	95.58	94.61	94.94
2	73.74	77.00	73.83
3	81.02	79.87	77.05
4	13.83	13.38	14.62
5	26.56	25.25	24.55
6	62.23	63.59	61.67
7	71.46	71.27	69.59
8	104.39	103.50	102.86
9	68.08	66.57	66.10
10	110.71	111.51	109.11
11	42.88	43.42	42.70
12	59.62	61.71	59.56
13	86.52	86.68	83.70
14	91.46	92.69	89.67
15	68.94	73.52	69.16
16	54.34	55.31	51.77
17	58.70	60.88	60.32
18	48.10	50.95	45.91
19	53.88	55.05	52.05
20	29.75	29.95	28.18
21	71.73	74.65	70.06
22	61.59	61.17	61.99
23	54.46	56.53	54.77
24	94.22	93.74	94.13
25	86.83	89.31	86.53
26	43.04	44.44	43.19
27	18.82	19.03	15.75
28	73.36	74.85	71.11
29	56.34	56.75	54.98
30	85.89	88.68	87.04
31	85.62	86.58	84.91
32	57.55	58.34	59.83
33	90.40	91.80	91.22
34	50.27	52.23	49.45
35	46.95	47.06	46.79
36	47.97	48.75	47.57
37	82.03	79.74	78.87
38	83.30	85.13	83.11
39	87.90	88.37	87.83
40	93.12	95.09	92.55
41	29.09	30.67	30.24
42	96.55	96.34	94.20
43	101.03	102.83	101.08
44	101.22	105.40	101.59
45	47.40	50.14	47.13
46	68.75	68.76	67.00
47	53.48	54.85	53.10
48	10.49	10.82	11.12
49	100.03	101.22	99.66
50	72.91	72.11	71.08
51	63.81	66.82	63.13
52	35.62	35.56	32.84
53	73.03	75.02	73.32
54	65.63	68.31	68.19
55	91.36	91.90	89.88
56	109.33	110.15	108.59
57	61.79	63.90	61.05
58	99.18	97.73	97.14
59	52.30	53.93	52.62
60	55.54	55.37	56.02
61	84.88	84.00	83.97
62	64.38	63.36	65.23
63	24.03	26.31	23.00
64	47.25	46.08	44.06
65	15.72	15.50	14.60
66	64.06	64.28	60.40
67	40.51	40.85	38.71
68	38.58	41.56	39.10
69	121.02	124.80	122.06
70	87.86	91.25	89.33
71	57.09	60.04	54.99
72	65.61	67.40	65.56
73	75.53	78.87	73.76
74	84.39	87.18	84.48
75	75.05	75.02	72.51
76	66.36	67.54	65.06
77	76.87	78.16	75.42
78	131.69	133.39	131.20
79	71.13	71.59	69.11
80	110.21	111.04	108.81
81	84.96	84.68	83.80
82	34.65	35.39	36.46
83	42.47	44.53	42.93
84	60.64	61.39	60.69
85	80.92	80.62	80.85
86	114.23	115.04	111.72
87	84.26	86.45	85.17
88	25.17	26.43	24.61
89	69.14	72.17	69.91
90	63.15	63.67	60.43
91	76.18	76.57	74.21
92	55.68	57.39	53.69
93	51.41	53.81	53.22
94	97.64	96.81	97.87
95	108.05	110.17	108.04
96	80.66	82.41	79.25
97	104.27	104.92	101.87
98	47.40	48.30	48.54
99	51.63	52.42	50.23
100	64.79	65.17	63.45
