leucine	alanine	lysine
24	25	29
39	38	44
30	29	26
25	24	24
31	28	35
32	41	33
39	40	49
33	38	38
42	43	41
31	35	30
33	34	34
22	18	24
25	34	33
32	28	39
42	44	52
28	25	31
35	39	33
31	32	29
45	45	41
36	38	37
37	39	35
29	40	31
30	36	31
41	50	50
45	45	46
23	24	26
23	27	26
21	25	26
25	27	25
48	51	53
27	33	32
20	21	26
40	37	41
17	17	18
35	34	36
29	31	28
24	24	28
25	23	32
27	24	23
51	60	54
27	25	24
27	27	25
25	25	27
20	23	21
29	25	28
40	40	44
23	28	26
22	24	23
26	27	32
20	19	19
