food	size	bmr
A	27.0	287.4
A	29.9	228.7
A	24.5	237.4
A	25.0	248.6
A	20.8	243.8
A	24.1	255.3
A	20.7	205.9
A	30.2	236.2
A	20.4	163.8
A	25.1	265.3
A	27.8	277.6
A	27.0	215.5
A	22.2	190.2
A	30.0	227.3
A	26.9	213.4
A	25.6	247.3
A	28.6	206.1
A	22.4	244.2
A	29.2	286.0
A	24.4	224.0
A	25.5	255.5
A	24.4	203.7
A	22.2	218.6
A	29.5	242.5
A	24.1	180.9
A	19.5	189.0
A	28.2	234.6
A	23.6	264.3
A	18.2	135.4
B	28.7	273.4
B	23.3	263.2
B	27.8	212.0
B	20.6	245.2
B	23.1	288.5
B	29.7	298.7
B	28.7	303.6
B	25.2	215.1
B	29.6	279.6
B	23.5	173.3
B	27.2	264.1
B	27.5	242.5
B	23.5	243.3
B	22.7	224.9
B	20.8	272.0
B	25.8	218.2
B	27.5	280.2
B	24.6	214.7
B	23.4	176.4
B	24.8	309.5
B	28.8	232.5
B	25.1	234.7
B	26.0	245.0
B	25.9	285.3
B	28.1	190.5
B	28.3	254.8
B	23.4	229.3
B	22.6	252.1
B	22.8	221.0
B	25.2	229.1
C	24.5	258.6
C	28.5	269.6
C	21.4	177.9
C	24.9	299.6
C	27.4	203.9
C	33.4	312.1
C	18.7	226.9
C	20.1	252.2
C	21.5	171.0
C	23.0	214.9
C	21.6	234.9
C	31.1	309.9
C	21.5	260.4
C	29.2	267.9
C	27.1	266.9
C	25.4	279.4
C	23.1	295.6
C	22.6	210.5
C	31.2	240.3
C	25.9	256.1
C	24.2	238.3
C	24.4	240.3
C	28.8	279.1
C	26.0	243.3
C	23.0	219.0
C	21.9	241.3
C	27.5	288.4
C	21.1	233.7
C	20.2	217.3
C	28.9	238.7
