p.peas	p.beans	u.peas	u.beans
9.70	9.70	10.09	10.11
9.86	9.90	10.15	10.54
9.81	9.92	10.12	10.28
10.26	9.82	10.05	10.54
10.10	9.74	9.93	10.17
10.23	9.66	9.91	9.68
10.18	9.67	9.90	10.36
9.92	10.26	10.32	10.33
9.55	10.11	10.17	10.13
10.14	10.02	9.99	10.12
10.21	10.22	10.20	10.06
10.32	9.66	10.23	10.16
9.62	10.12	10.33	10.54
9.98	9.27	10.12	9.91
9.80	10.06	10.17	10.17
10.12	9.61	9.93	10.14
9.95	10.15	10.13	10.39
10.02	10.11	9.97	9.89
10.10	9.94	10.23	10.25
9.91	9.62	10.48	9.88
9.78	9.86	9.81	9.47
9.96	10.23	9.86	9.54
10.26	9.70	10.09	10.37
9.87	9.98	10.02	10.28
10.21	9.54	10.20	10.13
10.03	9.93	10.20	10.63
9.96	9.87	9.98	10.14
9.73	9.34	9.74	10.85
10.04	9.52	10.37	10.85
10.33	9.74	9.94	9.44
9.89	9.99	10.08	10.52
9.98	9.81	9.90	10.27
9.83	10.30	10.14	10.41
10.09	9.88	9.77	9.60
10.06	10.40	10.32	10.02
9.89	9.77	10.30	9.77
9.84	9.41	10.17	10.05
9.82	9.79	9.88	10.27
9.76	10.06	10.29	10.01
9.99	9.94	10.08	10.14
