lo.cold	lo.warm	lo.hot	nu.cold	nu.warm	nu.hot	hi.cold	hi.warm	hi.hot
9.02	7.58	7.23	13.93	12.37	7.62	16.53	14.32	14.88
11.17	13.42	10.77	13.90	14.84	9.87	18.19	22.81	15.84
9.28	6.97	9.35	17.79	11.78	14.01	18.22	13.91	15.61
12.77	14.73	10.85	12.61	13.93	9.61	15.18	13.93	14.58
11.18	10.38	11.92	16.70	14.58	5.87	20.99	15.56	13.03
15.90	10.06	14.50	14.21	11.20	10.83	19.78	16.85	15.07
12.57	11.30	10.14	11.51	15.48	11.05	14.21	15.86	13.28
11.20	10.91	9.45	13.30	11.57	14.06	17.15	13.17	12.04
13.50	11.37	12.45	15.05	14.02	13.71	19.52	17.22	17.04
10.07	9.77	9.28	13.20	13.09	12.21	17.11	13.28	13.87
10.97	11.06	10.15	11.06	11.27	10.68	17.73	16.39	14.80
12.83	10.34	8.10	11.53	16.83	12.72	17.95	14.75	16.76
9.77	9.43	11.95	17.74	14.68	6.37	18.06	17.75	14.09
10.89	9.94	8.13	14.89	17.83	12.07	18.80	14.32	15.64
11.45	8.16	9.03	15.55	16.54	12.22	16.08	16.58	12.94
8.62	9.88	5.91	11.59	12.85	9.98	16.41	18.49	14.97
9.99	11.64	12.18	16.05	14.58	11.43	14.58	15.75	13.57
9.97	7.58	9.98	11.56	12.82	17.32	18.47	17.07	10.70
11.60	13.51	8.21	13.69	11.58	13.83	18.37	17.80	17.09
9.28	6.81	9.15	12.31	15.64	8.75	17.35	17.92	12.78
11.50	10.58	8.93	16.02	15.37	12.34	19.63	16.73	11.13
9.80	10.33	10.43	12.86	13.21	12.01	17.09	16.98	11.66
12.45	7.27	9.66	13.23	11.48	10.11	16.30	19.08	16.60
8.18	12.31	9.82	12.75	12.71	10.46	20.39	19.54	16.83
12.35	10.92	6.61	16.34	12.73	10.76	18.03	17.14	15.71
								
								
								
								
								
								
								
								
								
								
