low.ex	low.noex	high.ex	high.noex
0.503	2.072	2.895	2.354
1.282	1.345	1.220	5.192
0.534	2.541	1.093	5.790
1.738	3.190	3.081	2.968
0.202	0.512	2.878	5.360
1.423	3.815	3.812	0.180
0.273	1.959	0.502	4.367
1.152	3.726	2.178	5.443
1.020	3.602	2.371	5.464
1.410	3.908	3.487	2.821
0.683	0.960	0.854	1.886
0.642	2.535	2.514	4.164
0.279	2.752	1.094	5.486
1.082	3.220	3.041	5.124
0.849	3.100	3.039	4.494
0.192	1.574	0.255	2.057
0.405	1.894	1.882	3.581
1.027	3.091	0.260	1.280
1.338	0.039	3.568	4.450
1.776	1.490	3.812	0.683
0.179	0.711	3.044	2.928
0.646	2.859	3.987	2.713
0.966	2.575	1.198	0.478
1.320	2.751	1.219	0.057
1.419	1.592	0.433	3.331
1.192	3.120	3.353	2.477
0.391	0.558	0.085	3.053
0.394	2.866	3.492	1.486
