Mouse	Treatment	Sniffs	Testosterone	Corticosterone
1	2	4	3.2	21.1
2	1	2	2.1	19.6
3	3	7	3.9	17
4	4	11	6.2	54.3
5	1	3	4.1	20
6	2	5	4.5	32.2
7	3	8	3.2	17.9
8	4	9	4	23
9	4	14	7.5	65.4
10	2	7	5.5	52.1
11	3	5	5.7	45.6
12	1	1	4	18.4
13	2	7	4.5	25.8
14	3	12	5.5	30
15	1	2	3.1	18.9
16	4	17	7.7	22.2
17	4	12	7	45
18	3	3	3.2	36.7
19	2	5	4.7	19.8
20	1	1	4.7	19
21	2	4	3.6	34.2
22	3	15	5.5	55
23	1	5	4.1	37.8
24	4	19	6.7	71.2
25	3	12	4.8	65.3
26	2	11	5.9	49.8
27	4	17	6	57
28	1	9	3	21.8
29	4	9	5.2	36.2
30	1	1	2.9	33.2
31	2	1	3.6	18.5
32	3	2	4.1	17.3
33	1	5	5.7	38.7
34	2	4	3.4	34
35	3	3	3.5	36
36	4	12	6.9	52.8
37	2	3	6	27
38	1	5	4	35
39	4	15	4.2	67.5
40	3	9	5	42.1
