group	colour	left	right	tail	head
1	green	8.91	12.68	5.46	6.18
1	brown	8.68	10.60	7.17	6.16
1	green	9.27	9.68	6.71	3.99
1	green	9.21	10.44	5.54	6.35
2	green	8.57	10.71	5.45	7.44
2	brown	7.55	9.25	8.61	2.33
2	brown	6.60	9.32	7.19	5.92
2	brown	8.76	8.26	6.46	8.84
2	green	7.50	9.84	9.08	4.33
1	brown	11.27	7.48	6.30	4.41
1	green	8.74	9.58	7.97	4.04
1	green	7.65	9.76	5.09	7.16
1	green	6.44	10.55	7.81	1.95
1	brown	7.26	9.22	6.23	6.61
2	brown	7.86	9.16	7.01	6.59
2	brown	9.10	12.56	7.20	7.66
2	green	7.42	8.29	8.24	5.99
2	brown	6.42	10.57	4.96	5.77
2	green	9.17	7.19	7.93	5.35
2	green	8.61	14.84	6.07	7.26
1	green	7.08	12.25	8.30	6.16
1	brown	9.64	11.64	7.65	6.25
1	brown	8.16	11.34	7.71	7.11
1	brown	7.27	10.85	4.21	5.16
2	green	6.27	12.29	7.74	6.18
2	brown	6.08	10.33	8.88	9.25
2	green	8.44	10.28	7.14	4.65
2	green	9.88	10.18	6.08	4.30
2	green	10.76	10.71	5.11	6.77
1	brown	8.07	12.64	6.02	4.52
1	brown	8.74	9.23	6.60	5.91
1	brown	9.26	7.48	8.87	6.55
1	green	9.24	10.85	8.95	6.08
1	brown	8.10	11.88	7.84	6.02
2	green	8.09	11.70	9.59	5.09
2	green	8.02	13.05	8.92	5.42
2	green	6.79	8.87	7.26	6.73
2	brown	5.25	9.06	8.77	5.82
2	brown	8.62	8.54	7.65	4.47
2	brown	8.78	11.56	7.64	5.49
1	green	7.08	13.44	8.71	4.64
1	brown	8.40	11.43	7.24	5.10
1	green	5.00	7.33	9.81	5.37
1	green	6.33	10.12	7.12	2.85
2	green	5.79	9.92	8.11	4.34
2	brown	7.80	11.55	8.81	2.91
2	brown	4.53	8.85	6.90	5.48
2	brown	5.42	11.00	5.33	6.93
2	green	8.58	10.30	8.07	4.38
1	brown	10.31	9.57	5.22	3.19
1	green	8.55	9.57	8.17	5.74
1	green	9.76	9.97	8.93	3.40
1	green	9.45	11.44	4.34	5.25
1	brown	8.05	12.12	7.92	6.34
2	brown	8.89	9.12	6.40	8.15
2	brown	6.39	9.14	9.05	3.85
2	green	7.22	12.61	4.45	3.28
2	brown	6.54	8.73	7.57	5.66
2	green	7.75	8.87	10.93	3.47
2	green	9.09	12.58	7.38	8.56
1	green	8.97	11.76	10.28	6.96
1	brown	7.78	10.85	9.08	7.64
1	brown	7.53	10.23	6.65	6.41
1	brown	9.62	9.14	6.80	7.77
2	green	10.19	12.08	10.48	4.80
2	brown	8.15	11.49	7.26	6.97
2	green	10.74	11.83	4.33	7.66
2	green	7.00	10.12	6.13	6.21
2	green	8.15	7.74	7.84	5.06
1	brown	7.67	9.62	5.45	6.92
1	brown	5.01	9.99	7.76	7.11
1	brown	8.53	8.88	6.93	6.37
1	green	8.63	11.06	6.30	6.40
1	brown	11.11	10.52	4.55	7.20
2	green	7.09	8.88	3.56	4.96
2	green	9.55	8.83	8.08	6.44
2	green	9.60	10.24	6.54	6.94
2	brown	7.75	11.38	6.84	4.09
2	brown	5.95	10.44	5.40	5.09
2	brown	9.84	10.45	5.76	5.24
1	green	7.43	7.94	8.16	4.37
1	brown	6.06	6.55	6.72	6.08
1	green	8.72	9.98	9.23	2.84
1	green	9.00	10.10	6.22	5.86
2	green	9.99	8.87	7.75	6.42
2	brown	10.69	7.32	5.71	8.88
2	brown	9.34	9.95	8.84	5.18
2	brown	8.59	12.27	4.82	5.24
2	green	6.92	9.41	6.10	5.00
1	brown	9.34	10.43	7.49	6.09
1	green	4.85	9.85	7.26	5.93
1	green	6.77	8.08	6.78	7.07
1	green	9.14	9.09	6.29	5.95
1	brown	7.59	10.76	7.94	5.50
2	brown	8.68	9.34	6.15	7.60
2	brown	5.94	10.37	5.23	7.34
2	green	5.62	7.38	8.09	7.28
2	brown	7.59	10.26	7.90	5.45
2	green	5.70	8.42	9.29	6.72
2	green	6.26	10.22	6.35	4.53
